"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**,REF**,REF**";"1pin";3;"1pin";;;
2;"1K1,1K2,1K3";"R_0805";3;"1k";;;
3;"C1,C3,C6,C7,C9,C11";"C_0805";6;"0.1uf";;;
4;"C2,C4,C5,C8";"C_0805";4;"10uf";;;
5;"P1";"USB_Micro-B";1;"USB_OTG";;;
6;"R1";"R_0805";1;"10k";;;
7;"RESET,SETUP1";"SW_SPST_EVPBF";2;"SW_PUSH";;;
8;"U1";"WM-N-BM-14";1;"WM-N-BM-14";;;
9;"U2";"SOT-223";1;"AMS1117 3.3V";;;
10;"GND";"Pin_Header_Straight_2x12";1;"CONN_02X12";;;
11;"C10";"c_elec_6.3x5.7";1;"47uf";;;
12;"P3";"Pin_Header_Straight_2x06";1;"LedConnector";;;
13;"VS,5V";"Pin_Header_Straight_1x03";2;"CONN_01X03";;;
14;"3V3";"Pin_Header_Straight_1x12";1;"CONN_01X12";;;
15;"R2,R3,R4,R5,R6,R7";"R_0805";6;"470R";;;
16;"Status";"0605_RGB_LED";1;"RGB_LED";;;
17;"U4,U5,U6";"so-8";3;"L9110";;;
18;"R8";"R_0805";1;"1000R";;;
19;"M2";"TerminalBlock_Pheonix_MPT-2.54mm_2pol";1;"M2";;;
20;"M3";"TerminalBlock_Pheonix_MPT-2.54mm_2pol";1;"M3";;;
21;"CON1";"BARREL_JACK";1;"BARREL_JACK";;;
22;"PWR1";"LED_0805";1;"LED";;;
23;"M1";"TerminalBlock_Pheonix_MPT-2.54mm_2pol";1;"M1";;;
24;"D1";"Diode_DO-41_SOD81_Vertical_AnodeUp";1;"InDiode";;;
25;"U7";"SOT-223";1;"AMS1117 5.0V";;;
